date,ref_name,ref,commit_sha,label,time,rss,vms
2023-07-11T12-11-40,main,refs/heads/main,679e7a367f91ce3350abb34310ecd7c5a25d7488,Vertexing,1.912834,446619648,615927808
2023-07-11T15-26-08,main,refs/heads/main,c4ba83638396f17e82ab7ca1e504c610172299f6,CKF Tracking,11.498279,612708352,782356480
2023-07-11T15-26-08,main,refs/heads/main,c4ba83638396f17e82ab7ca1e504c610172299f6,Simulation,7.264918,591519744,820342784
2023-07-11T15-26-08,main,refs/heads/main,c4ba83638396f17e82ab7ca1e504c610172299f6,Truth Tracking GSF,24.888107,518426624,717537280
2023-07-11T15-26-08,main,refs/heads/main,c4ba83638396f17e82ab7ca1e504c610172299f6,Truth Tracking KF,0.101183,25403392,152084480
2023-07-11T15-26-08,main,refs/heads/main,c4ba83638396f17e82ab7ca1e504c610172299f6,Vertexing,31.054767,838160384,1041084416
2023-07-11T16-12-17,main,refs/heads/main,617d03f9ddcd8a26af65427515efe3cf21bd0e53,CKF Tracking,11.506539,604143616,790949888
2023-07-11T16-12-17,main,refs/heads/main,617d03f9ddcd8a26af65427515efe3cf21bd0e53,Simulation,61.736142,998809600,1158471680
2023-07-11T16-12-17,main,refs/heads/main,617d03f9ddcd8a26af65427515efe3cf21bd0e53,Truth Tracking GSF,23.051594,491552768,700354560
2023-07-11T16-12-17,main,refs/heads/main,617d03f9ddcd8a26af65427515efe3cf21bd0e53,Truth Tracking KF,0.100876,21381120,151949312
2023-07-11T16-12-17,main,refs/heads/main,617d03f9ddcd8a26af65427515efe3cf21bd0e53,Vertexing,1.711243,445284352,613421056
2023-07-12T07-17-42,main,refs/heads/main,c499dfe9fa21fc9108b4da855aa97b6138103abe,CKF Tracking,11.28911,609660928,787562496
2023-07-12T07-17-42,main,refs/heads/main,c499dfe9fa21fc9108b4da855aa97b6138103abe,Simulation,7.462051,590360576,875696128
2023-07-12T07-17-42,main,refs/heads/main,c499dfe9fa21fc9108b4da855aa97b6138103abe,Truth Tracking GSF,24.563834,519315456,717524992
2023-07-12T07-17-42,main,refs/heads/main,c499dfe9fa21fc9108b4da855aa97b6138103abe,Truth Tracking KF,0.000323,4096,6615040
2023-07-12T07-17-42,main,refs/heads/main,c499dfe9fa21fc9108b4da855aa97b6138103abe,Vertexing,1.613157,442646528,616230912
2023-07-12T09-39-43,main,refs/heads/main,9ae9e8bf09e5a4732236a7263dee3c380845dadc,CKF Tracking,9.612188,599887872,782745600
2023-07-12T09-39-43,main,refs/heads/main,9ae9e8bf09e5a4732236a7263dee3c380845dadc,Simulation,8.300151,575197184,878399488
2023-07-12T09-39-43,main,refs/heads/main,9ae9e8bf09e5a4732236a7263dee3c380845dadc,Truth Tracking GSF,29.752366,518488064,717533184
2023-07-12T09-39-43,main,refs/heads/main,9ae9e8bf09e5a4732236a7263dee3c380845dadc,Truth Tracking KF,2.224808,445120512,615124992
2023-07-12T09-39-43,main,refs/heads/main,9ae9e8bf09e5a4732236a7263dee3c380845dadc,Vertexing,2.427255,446582784,618217472
2023-07-12T11-00-42,main,refs/heads/main,93fb63ea8e65aca3616ff91e78ff784fbb0050a1,CKF Tracking,8.063907,592207872,786083840
2023-07-12T11-00-42,main,refs/heads/main,93fb63ea8e65aca3616ff91e78ff784fbb0050a1,Simulation,7.566788,593846272,875696128
2023-07-12T11-00-42,main,refs/heads/main,93fb63ea8e65aca3616ff91e78ff784fbb0050a1,Truth Tracking GSF,22.654217,496185344,704946176
